-3.142	-0.0317046
-3.079	-0.0253764
-3.016	-0.0364841
-2.953	-0.0643227
-2.89	-0.107593
-2.827	-0.164439
-2.765	-0.231343
-2.702	-0.30771
-2.639	-0.389402
-2.576	-0.473032
-2.513	-0.555075
-2.45	-0.631994
-2.388	-0.699366
-2.325	-0.756224
-2.262	-0.798593
-2.199	-0.824144
-2.136	-0.831137
-2.073	-0.8185
-2.011	-0.78656
-1.948	-0.734686
-1.885	-0.664381
-1.822	-0.577511
-1.759	-0.47659
-1.696	-0.364686
-1.634	-0.247234
-1.571	-0.124186
-1.508	-0.00131629
-1.445	0.117464
-1.382	0.228419
-1.319	0.328139
-1.257	0.412435
-1.194	0.481662
-1.131	0.532585
-1.068	0.564145
-1.005	0.576003
-0.9425	0.56866
-0.8796	0.543084
-0.8168	0.500974
-0.754	0.444447
-0.6912	0.376064
-0.6283	0.29857
-0.5655	0.215287
-0.5027	0.129255
-0.4398	0.0434741
-0.377	-0.0387679
-0.3142	-0.11481
-0.2513	-0.182244
-0.1885	-0.238704
-0.1257	-0.282564
-0.06283	-0.312563
0	-0.327827
0.06283	-0.328068
0.1257	-0.313466
0.1885	-0.28475
0.2513	-0.243092
0.3142	-0.190036
0.377	-0.127811
0.4398	-0.0587678
0.5027	0.014477
0.5655	0.0887235
0.6283	0.160982
0.6912	0.228206
0.754	0.287101
0.8168	0.334876
0.8796	0.368926
0.9425	0.387059
1.005	0.387557
1.068	0.369268
1.131	0.331654
1.194	0.274957
1.257	0.200143
1.319	0.110447
1.382	0.00527094
1.445	-0.111162
1.508	-0.235468
1.571	-0.363912
1.634	-0.492549
1.696	-0.615452
1.759	-0.732742
1.822	-0.838758
1.885	-0.930263
1.948	-1.00454
2.011	-1.05951
2.073	-1.0934
2.136	-1.10667
2.199	-1.09869
2.262	-1.07031
2.325	-1.02304
2.388	-0.95903
2.45	-0.882271
2.513	-0.793328
2.576	-0.696709
2.639	-0.595961
2.702	-0.494681
2.765	-0.396394
2.827	-0.305832
2.89	-0.22308
2.953	-0.152328
3.016	-0.0957863
3.079	-0.0551414
